Symbol,yf_ticker,Company Name,Industry
PAYTM,PAYTM.NS,One 97 Communications Ltd.,Financial Services
ONESOURCE,ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare
OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR,POLICYBZR.NS,PB Fintech Ltd.,Financial Services
PCBL,PCBL.NS,PCBL Chemical Ltd.,Chemicals
PGEL,PGEL.NS,PG Electroplast Ltd.,Consumer Durables
PIIND,PIIND.NS,PI Industries Ltd.,Chemicals
PNBHOUSING,PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services
PTCIL,PTCIL.NS,PTC Industries Ltd.,Capital Goods
PVRINOX,PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication
PAGEIND,PAGEIND.NS,Page Industries Ltd.,Textiles
PARADEEP,PARADEEP.NS,Paradeep Phosphates Ltd.,Chemicals
PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology
PETRONET,PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
PFIZER,PFIZER.NS,Pfizer Ltd.,Healthcare
PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty
PWL,PWL.NS,Physicswallah Ltd.,Consumer Services
PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals
PINELABS,PINELABS.NS,Pine Labs Ltd.,Financial Services
PIRAMALFIN,PIRAMALFIN.NS,Piramal Finance Ltd.,Financial Services
PPLPHARMA,PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare
POLYMED,POLYMED.NS,Poly Medicure Ltd.,Healthcare
POLYCAB,POLYCAB.NS,Polycab India Ltd.,Capital Goods
POONAWALLA,POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services
PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services
POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power
PREMIERENE,PREMIERENE.NS,Premier Energies Ltd.,Capital Goods
PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty
PNB,PNB.NS,Punjab National Bank,Financial Services
RRKABEL,RRKABEL.NS,R R Kabel Ltd.,Capital Goods
RBLBANK,RBLBANK.NS,RBL Bank Ltd.,Financial Services
RECLTD,RECLTD.NS,REC Ltd.,Financial Services
RHIM,RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods
RITES,RITES.NS,RITES Ltd.,Construction
RADICO,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods
RVNL,RVNL.NS,Rail Vikas Nigam Ltd.,Construction
RAILTEL,RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication
RAINBOW,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare
RKFORGE,RKFORGE.NS,Ramkrishna Forgings Ltd.,Automobile and Auto Components
REDINGTON,REDINGTON.NS,Redington Ltd.,Services
RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
RPOWER,RPOWER.NS,Reliance Power Ltd.,Power
SBFC,SBFC.NS,SBFC Finance Ltd.,Financial Services
SBICARD,SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services
SJVN,SJVN.NS,SJVN Ltd.,Power
SRF,SRF.NS,SRF Ltd.,Chemicals
SAGILITY,SAGILITY.NS,Sagility Ltd.,Information Technology
SAILIFE,SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare
SAMMAANCAP,SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services
MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SAPPHIRE,SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services
SARDAEN,SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining
SAREGAMA,SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication
SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components
SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods
SCI,SCI.NS,Shipping Corporation of India Ltd.,Services
SHREECEM,SHREECEM.NS,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services
SHYAMMETL,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods
ENRIN,ENRIN.NS,Siemens Energy India Ltd.,Capital Goods
SIEMENS,SIEMENS.NS,Siemens Ltd.,Capital Goods
SIGNATURE,SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty
SOBHA,SOBHA.NS,Sobha Ltd.,Realty
SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals
SONACOMS,SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SONATSOFTW,SONATSOFTW.NS,Sonata Software Ltd.,Information Technology
STARHEALTH,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services
SBIN,SBIN.NS,State Bank of India,Financial Services
SAIL,SAIL.NS,Steel Authority of India Ltd.,Metals & Mining
SUMICHEM,SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare
SUNTV,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication
SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services
SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods
SPLPETRO,SPLPETRO.NS,Supreme Petrochem Ltd.,Chemicals
SUZLON,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods
SWANCORP,SWANCORP.NS,Swan Corp Ltd.,Chemicals
SWIGGY,SWIGGY.NS,Swiggy Ltd.,Consumer Services
SYNGENE,SYNGENE.NS,Syngene International Ltd.,Healthcare
SYRMA,SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods
TBOTEK,TBOTEK.NS,TBO Tek Ltd.,Consumer Services
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components
TATACAP,TATACAP.NS,Tata Capital Ltd.,Financial Services
TATACHEM,TATACHEM.NS,Tata Chemicals Ltd.,Chemicals
TATACOMM,TATACOMM.NS,Tata Communications Ltd.,Telecommunication
TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM,TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology
TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services
TMCV,TMCV.NS,Tata Motors Ltd.,Capital Goods
TMPV,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,Power
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining
TATATECH,TATATECH.NS,Tata Technologies Ltd.,Information Technology
TTML,TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Telecommunication
TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology
TECHNOE,TECHNOE.NS,Techno Electric & Engineering Company Ltd.,Construction
TEGA,TEGA.NS,Tega Industries Ltd.,Capital Goods
TEJASNET,TEJASNET.NS,Tejas Networks Ltd.,Telecommunication
TENNIND,TENNIND.NS,Tenneco Clean Air India Ltd.,Automobile and Auto Components
NIACL,NIACL.NS,The New India Assurance Company Ltd.,Financial Services
RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Ltd.,Construction Materials
THERMAX,THERMAX.NS,Thermax Ltd.,Capital Goods
TIMKEN,TIMKEN.NS,Timken India Ltd.,Capital Goods
TITAGARH,TITAGARH.NS,Titagarh Rail Systems Ltd.,Capital Goods
TITAN,TITAN.NS,Titan Company Ltd.,Consumer Durables
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare
TORNTPOWER,TORNTPOWER.NS,Torrent Power Ltd.,Power
TARIL,TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods
TRAVELFOOD,TRAVELFOOD.NS,Travel Food Services Ltd.,Consumer Services
TRENT,TRENT.NS,Trent Ltd.,Consumer Services
TRIDENT,TRIDENT.NS,Trident Ltd.,Textiles
TRITURBINE,TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods
TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components
UCOBANK,UCOBANK.NS,UCO Bank,Financial Services
UNOMINDA,UNOMINDA.NS,UNO Minda Ltd.,Automobile and Auto Components
UPL,UPL.NS,UPL Ltd.,Chemicals
UTIAMC,UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials
UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services
UBL,UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods
UNITDSPR,UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods
URBANCO,URBANCO.NS,Urban Company Ltd.,Consumer Services
USHAMART,USHAMART.NS,Usha Martin Ltd.,Capital Goods
VTL,VTL.NS,Vardhman Textiles Ltd.,Textiles
VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL,VEDL.NS,Vedanta Ltd.,Metals & Mining
VIJAYA,VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare
VMM,VMM.NS,Vishal Mega Mart Ltd.,Consumer Services
IDEA,IDEA.NS,Vodafone Idea Ltd.,Telecommunication
VOLTAS,VOLTAS.NS,Voltas Ltd.,Consumer Durables
WAAREEENER,WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods
WELCORP,WELCORP.NS,Welspun Corp Ltd.,Capital Goods
WELSPUNLIV,WELSPUNLIV.NS,Welspun Living Ltd.,Textiles
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables
WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology
WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare
YESBANK,YESBANK.NS,Yes Bank Ltd.,Financial Services
ZFCVINDIA,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication
ZENTEC,ZENTEC.NS,Zen Technologies Ltd.,Capital Goods
ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies Ltd.,Information Technology
ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare
ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness Ltd.,Fast Moving Consumer Goods
ECLERX,ECLERX.NS,eClerx Services Ltd.,Services
